element_tran,node1,node2
c1ccc([*:1])cc1 --->>>--- Oc1ccc([*:1])cc1,c1ccc([*:1])cc1,Oc1ccc([*:1])cc1
c1ccc([*:2])cc1 --->>>--- Oc1ccc([*:2])cc1,c1ccc([*:2])cc1,Oc1ccc([*:2])cc1
c1ccc([*:1])cc1 --->>>--- O=C(O)C=CC=C[*:1],c1ccc([*:1])cc1,O=C(O)C=CC=C[*:1]
c1ccc([*:2])cc1 --->>>--- O=C(O)C=CC=C[*:2],c1ccc([*:2])cc1,O=C(O)C=CC=C[*:2]
c1ccc([*:1])cc1 --->>>--- Nc1ccc([*:1])cc1,c1ccc([*:1])cc1,Nc1ccc([*:1])cc1
c1ccc([*:2])cc1 --->>>--- Nc1ccc([*:2])cc1,c1ccc([*:2])cc1,Nc1ccc([*:2])cc1
c1ccc([*:1])cc1 --->>>--- COc1cccc([*:1])c1,c1ccc([*:1])cc1,COc1cccc([*:1])c1
c1ccc([*:2])cc1 --->>>--- COc1cccc([*:2])c1,c1ccc([*:2])cc1,COc1cccc([*:2])c1
c1ccc([*:1])cc1 --->>>--- COc1ccc([*:1])c(OC)c1,c1ccc([*:1])cc1,COc1ccc([*:1])c(OC)c1
c1ccc([*:2])cc1 --->>>--- COc1ccc([*:2])c(OC)c1,c1ccc([*:2])cc1,COc1ccc([*:2])c(OC)c1
c1ccc([*:1])cc1 --->>>--- COC(=O)C=CC=C[*:1],c1ccc([*:1])cc1,COC(=O)C=CC=C[*:1]
c1ccc([*:2])cc1 --->>>--- COC(=O)C=CC=C[*:2],c1ccc([*:2])cc1,COC(=O)C=CC=C[*:2]
c1ccc([*:1])cc1 --->>>--- CN1C(=C[*:1])C=Cc2ccccc21,c1ccc([*:1])cc1,CN1C(=C[*:1])C=Cc2ccccc21
c1ccc([*:2])cc1 --->>>--- CN1C(=C[*:2])C=Cc2ccccc21,c1ccc([*:2])cc1,CN1C(=C[*:2])C=Cc2ccccc21
c1ccc([*:1])cc1 --->>>--- CN1C(=C[*:1])C(C)(C)c2ccccc21,c1ccc([*:1])cc1,CN1C(=C[*:1])C(C)(C)c2ccccc21
c1ccc([*:2])cc1 --->>>--- CN1C(=C[*:2])C(C)(C)c2ccccc21,c1ccc([*:2])cc1,CN1C(=C[*:2])C(C)(C)c2ccccc21
c1ccc([*:1])cc1 --->>>--- CN(C)c1cccc([*:1])c1,c1ccc([*:1])cc1,CN(C)c1cccc([*:1])c1
c1ccc([*:2])cc1 --->>>--- CN(C)c1cccc([*:2])c1,c1ccc([*:2])cc1,CN(C)c1cccc([*:2])c1
c1ccc([*:1])cc1 --->>>--- CN(C)c1ccc(-c2ccc([*:1])s2)cc1,c1ccc([*:1])cc1,CN(C)c1ccc(-c2ccc([*:1])s2)cc1
c1ccc([*:2])cc1 --->>>--- CN(C)c1ccc(-c2ccc([*:2])s2)cc1,c1ccc([*:2])cc1,CN(C)c1ccc(-c2ccc([*:2])s2)cc1
c1ccc([*:1])cc1 --->>>--- CN(C)c1ccc([*:1])cc1,c1ccc([*:1])cc1,CN(C)c1ccc([*:1])cc1
c1ccc([*:2])cc1 --->>>--- CN(C)c1ccc([*:2])cc1,c1ccc([*:2])cc1,CN(C)c1ccc([*:2])cc1
c1ccc([*:1])cc1 --->>>--- Cl[*:1],c1ccc([*:1])cc1,Cl[*:1]
c1ccc([*:2])cc1 --->>>--- Cl[*:2],c1ccc([*:2])cc1,Cl[*:2]
c1ccc([*:1])cc1 --->>>--- CCN1CCN(c2ccc([*:1])cc2)CC1,c1ccc([*:1])cc1,CCN1CCN(c2ccc([*:1])cc2)CC1
c1ccc([*:2])cc1 --->>>--- CCN1CCN(c2ccc([*:2])cc2)CC1,c1ccc([*:2])cc1,CCN1CCN(c2ccc([*:2])cc2)CC1
c1ccc([*:1])cc1 --->>>--- CCN1C(=C[*:1])Sc2ccccc21,c1ccc([*:1])cc1,CCN1C(=C[*:1])Sc2ccccc21
c1ccc([*:2])cc1 --->>>--- CCN1C(=C[*:2])Sc2ccccc21,c1ccc([*:2])cc1,CCN1C(=C[*:2])Sc2ccccc21
c1ccc([*:1])cc1 --->>>--- Cc1ccc([*:1])cc1,c1ccc([*:1])cc1,Cc1ccc([*:1])cc1
c1ccc([*:2])cc1 --->>>--- Cc1ccc([*:2])cc1,c1ccc([*:2])cc1,Cc1ccc([*:2])cc1
c1ccc([*:1])cc1 --->>>--- c1csc([*:1])c1,c1ccc([*:1])cc1,c1csc([*:1])c1
c1ccc([*:2])cc1 --->>>--- c1csc([*:2])c1,c1ccc([*:2])cc1,c1csc([*:2])c1
c1ccc([*:1])cc1 --->>>--- c1ccc2cc([*:1])ccc2c1,c1ccc([*:1])cc1,c1ccc2cc([*:1])ccc2c1
c1ccc([*:2])cc1 --->>>--- c1ccc2cc([*:2])ccc2c1,c1ccc([*:2])cc1,c1ccc2cc([*:2])ccc2c1
c1ccc([*:1])cc1 --->>>--- C[N+](C)(C)Cc1ccc([*:1])cc1,c1ccc([*:1])cc1,C[N+](C)(C)Cc1ccc([*:1])cc1
c1ccc([*:2])cc1 --->>>--- C[N+](C)(C)Cc1ccc([*:2])cc1,c1ccc([*:2])cc1,C[N+](C)(C)Cc1ccc([*:2])cc1
c1ccc([*:1])cc1 --->>>--- ,c1ccc([*:1])cc1,
c1ccc([*:2])cc1 --->>>--- ,c1ccc([*:2])cc1,
